group,start,end,years,cagr,total_return,mdd_full,mdd_1y,mdd_3y,mdd_5y,return_1y,return_3y,return_5y,days_to_recover_initial
strategy_ath_month_ends,2006-04-28,2026-06-17,20.136892539356605,0.10746820263867662,6.810771516259223,-0.10018090045772654,-0.06898163856634276,-0.10018090045772654,-0.10018090045772654,0.010944071484418227,0.34957367984231347,0.6125652605383665,4
all_month_ends,2006-05-31,2026-06-17,20.046543463381244,0.10916086022738636,6.979669784449125,-0.10018090045772687,-0.03107850611464591,-0.10018090045772687,-0.10018090045772687,0.07165455137827137,0.3465081686296434,0.6518544449311121,2
all_month_ends,2006-06-30,2026-06-17,19.964407939767284,0.10995565319767353,7.026016142295825,-0.10018090045772676,-0.028470682722321672,-0.10018090045772676,-0.10018090045772676,0.08338743375110136,0.3598788015173542,0.6336027844500602,4
all_month_ends,2006-07-31,2026-06-17,19.87953456536619,0.10994792751029814,6.954166808698191,-0.10018090045772665,-0.028470682722321783,-0.10018090045772665,-0.10018090045772665,0.09565773604596517,0.37008462158320476,0.6486203670029744,1
all_month_ends,2006-08-31,2026-06-17,19.794661190965094,0.10983676326976988,6.8684408204788046,-0.10018090045772676,-0.035355971125503594,-0.10018090045772676,-0.10018090045772676,0.09697330430138984,0.37605796541862446,0.6692393354080799,1
all_month_ends,2006-09-29,2026-06-17,19.71526351813826,0.10988637325189199,6.81048387872734,-0.10018090045772665,-0.03535597112550404,-0.10018090045772665,-0.10018090045772665,0.12022091378127042,0.3817699085794757,0.7151233247947135,21
strategy_ath_month_ends,2006-09-29,2026-06-17,19.71526351813826,0.10988637325189199,6.81048387872734,-0.10018090045772665,-0.03535597112550404,-0.10018090045772665,-0.10018090045772665,0.12022091378127042,0.3817699085794757,0.7151233247947135,21
all_month_ends,2006-10-31,2026-06-17,19.627652292950035,0.11066366430596886,6.846549472616873,-0.10018090045772665,-0.035355971125503816,-0.10018090045772665,-0.10018090045772665,0.15689418485206552,0.36588496337599596,0.7109001440009683,1
all_month_ends,2006-11-30,2026-06-17,19.54551676933607,0.1100388293629122,6.6941026615473485,-0.10018090045772687,-0.03667574640683968,-0.10018090045772687,-0.10018090045772687,0.11993588968345303,0.36977905262621524,0.7063884780441503,77
strategy_ath_month_ends,2006-11-30,2026-06-17,19.54551676933607,0.1100388293629122,6.6941026615473485,-0.10018090045772687,-0.03667574640683968,-0.10018090045772687,-0.10018090045772687,0.11993588968345303,0.36977905262621524,0.7063884780441503,77
