peak,trough,recovery,days,max_drawdown,recovered
2012-09-20,2012-09-21,2012-09-24,4,-9.649670146438805e-05,True
2012-09-24,2012-09-28,2012-10-04,10,-0.004086595040055707,True
2012-10-04,2013-06-25,2014-06-20,624,-0.05176316203184539,True
2014-06-24,2014-06-25,2014-06-26,2,-0.0005868103974726591,True
2014-06-26,2014-06-27,2014-06-30,4,-0.000870981239774693,True
2014-06-30,2014-07-01,2014-07-02,2,-0.0013778141997190518,True
2014-07-02,2014-07-03,2014-07-08,6,-0.0014690302979174508,True
2014-07-08,2014-07-09,2014-07-10,2,-0.0022572079815808,True
2014-07-17,2014-07-18,2014-07-25,8,-0.0033078801001428237,True
2014-07-25,2014-08-12,2014-08-25,31,-0.0076201008300263995,True
2014-08-29,2014-09-04,2014-09-18,20,-0.007101222477047253,True
2014-09-19,2014-09-24,2014-09-25,6,-0.004360044250421358,True
2014-09-25,2014-09-26,2014-09-29,4,-0.0036000466863849168,True
2014-10-01,2014-10-02,2014-10-06,5,-0.005461881299102522,True
2014-10-07,2014-10-08,2014-10-10,3,-0.00045870580377327386,True
2014-10-10,2014-10-17,2014-10-24,14,-0.007046064945600561,True
2014-10-27,2014-10-28,2014-10-30,3,-0.0022573920855879503,True
2014-11-04,2014-11-06,2014-11-07,3,-0.0016503019587392753,True
2014-11-07,2014-11-11,2014-11-14,7,-0.0033899463760721504,True
2014-11-25,2014-11-27,2014-11-28,3,-0.002326584122699038,True
2014-12-01,2014-12-17,2014-12-29,28,-0.01614287288440419,True
2014-12-30,2015-01-02,2015-01-05,6,-0.0030829704301330585,True
2015-01-06,2015-01-07,2015-01-15,9,-0.004709378012912047,True
2015-01-15,2015-01-16,2015-01-19,4,-0.0021154361146139555,True
2015-01-21,2015-01-22,2015-01-23,2,-0.0016487157384299511,True
2015-01-23,2015-01-26,2015-01-28,5,-0.0013086257107696175,True
2015-01-30,2015-06-22,2016-02-03,369,-0.04277776365494368,True
2016-02-03,2016-02-04,2016-02-11,8,-0.005515371144566128,True
2016-02-16,2016-02-17,2016-02-18,2,-0.0018236897839498667,True
2016-02-18,2016-02-22,2016-02-24,6,-0.004338741246696531,True
2016-02-25,2016-02-26,2016-02-29,4,-0.002581240795841211,True
2016-02-29,2016-03-30,2016-07-01,123,-0.034357914265782274,True
2016-07-06,2016-12-02,2017-04-03,271,-0.04447144713115536,True
2017-04-03,2017-04-04,2017-04-05,2,-0.001204093132877837,True
2017-04-05,2017-04-06,2017-04-07,2,-0.0010723359667792476,True
2017-04-11,2017-04-14,2017-04-18,7,-0.0029993288528160633,True
2017-04-18,2017-04-19,2017-04-21,3,-0.0018281024403999924,True
2017-05-08,2017-05-10,2017-05-11,3,-0.0010666207891334434,True
2017-05-11,2017-05-16,2017-05-17,6,-0.0016365050677853432,True
2017-05-17,2017-05-18,2017-05-23,6,-0.0020640431934839665,True
2017-05-29,2017-06-01,2017-06-02,4,-0.0017499589537178784,True
2017-06-09,2017-06-12,2017-06-20,11,-0.006135659007563743,True
2017-06-20,2017-06-21,2017-06-22,2,-0.0015575570864706512,True
2017-06-22,2017-06-23,2017-06-26,4,-0.0002461970093794452,True
2017-06-26,2017-07-07,2017-07-20,24,-0.008516219659098212,True
2017-07-21,2017-07-28,2017-08-02,12,-0.00542438662388145,True
2017-08-02,2017-08-04,2017-08-10,8,-0.003727939291073068,True
2017-08-10,2017-08-11,2017-08-17,7,-0.006767953658149195,True
2017-08-17,2017-08-28,2017-08-31,14,-0.007441489482948094,True
2017-08-31,2017-09-01,2017-09-04,4,-0.0011143216870125316,True
2017-09-05,2017-09-06,2017-09-07,2,-0.0009848485184750233,True
2017-09-08,2017-09-27,2017-10-11,33,-0.009479931807171327,True
2017-10-12,2017-10-13,2017-10-17,5,-0.0002553227299210148,True
2017-10-17,2017-10-26,2017-11-01,15,-0.01117998940238707,True
