date,baseline:HaenamP baseline,cap:cap 15%,cap:cap 20%,cap:cap 25%,lookback:6M momentum,lookback:9M momentum,lookback:12M momentum,rebalance_timing:month_start,rebalance_timing:month_mid,rebalance_timing:month_end
2016-03-30,311.69570755857177,273.9210828868653,311.69570755857177,352.8061434696858,301.00337444675534,308.62071815924924,311.69570755857177,299.85282742541546,309.5327651897205,311.69570755857177
2016-03-31,311.89840582201,274.0562577052989,311.89840582201,353.09193419086944,301.1730529050664,308.8272663213434,311.89840582201,299.9823277925551,309.6336468632322,311.89840582201
2016-04-01,311.94004041438086,274.08641585747114,311.94004041438086,353.14734550523235,300.86049825710614,308.6368419132683,311.94004041438086,300.2856560060636,309.67205617216985,311.94004041438086
2016-04-04,312.71248419785616,274.60362220124193,312.71248419785616,354.2299072518217,301.418823200311,309.3113422891391,312.71248419785616,301.0426477624757,310.44658224459295,312.71248419785616
2016-04-05,314.210975837642,275.5938549226886,314.210975837642,356.3469046634584,302.49946120510054,310.61604735010997,314.210975837642,302.379276337099,311.9036562785588,314.210975837642
2016-04-06,313.3597980540766,275.0356469851387,313.3597980540766,355.1389036915905,301.9193792470407,309.8954402815258,313.3597980540766,301.6112870010851,311.07293046769905,313.3597980540766
2016-04-07,315.1052598385543,276.1886341537981,315.1052598385543,357.6053862840052,303.3061289420668,311.5012913370434,315.1052598385543,303.2105452719805,312.7833913533699,315.1052598385543
2016-04-08,313.64523487365994,275.22919390703566,313.64523487365994,355.5358102994324,302.18193699271245,310.17468765915265,313.64523487365994,301.85026365321244,311.3449750524505,313.64523487365994
2016-04-11,313.317567311715,275.0214251091223,313.317567311715,355.0616104326801,302.0479181037502,309.9429273249728,313.317567311715,301.50944528935554,311.00881547054894,313.317567311715
2016-04-12,312.9941222598664,274.81099562563503,312.9941222598664,354.60039895631854,302.0317075881485,309.8014845466465,312.9941222598664,301.2072532978452,310.69083770993626,312.9941222598664
2016-04-14,314.04686112488605,275.51019870647644,314.04686112488605,356.0831068271157,302.9094032538636,310.82884948263313,314.04686112488605,302.2964017179155,311.7598184924781,314.04686112488605
2016-04-15,314.0564440277709,275.5192361907873,314.0564440277709,356.0931601048664,302.9560615561703,310.8640969347463,314.0564440277709,302.3018435779179,311.7705740643592,314.0564440277709
2016-04-18,313.03708820132005,274.85564455997576,313.03708820132005,354.6401548306777,302.12826877087315,309.9095453092745,313.03708820132005,301.3449793138854,310.7631408464834,313.03708820132005
2016-04-19,312.48248029831666,274.49287866657386,312.48248029831666,353.8518256936328,301.72810371008404,309.40662629946905,312.48248029831666,300.8104017490076,310.223424720322,312.48248029831666
2016-04-20,311.770097601141,274.02613871332096,311.770097601141,352.8402305789463,301.25469099199194,308.8013351588553,311.770097601141,300.13441784328296,309.4556966829155,311.770097601141
2016-04-21,312.731846250361,274.66265756510626,312.731846250361,354.1976850866419,302.1795013486268,309.7893509588632,312.731846250361,301.0084994872831,310.5042603360234,312.731846250361
2016-04-22,312.63427152029556,274.60107853316055,312.63427152029556,354.0560994874226,301.97688292979007,309.6244314919364,312.63427152029556,300.9329245537293,310.3698683799116,312.63427152029556
2016-04-25,312.2253825523818,274.3397890716328,312.2253825523818,353.46695801404945,301.6841672982329,309.2638976129382,312.2253825523818,300.5276163322162,309.96614804586255,312.2253825523818
2016-04-26,312.1367164526233,274.28408129230655,312.1367164526233,353.33797838837654,301.6986616174611,309.23021280421113,312.1367164526233,300.43938939142765,309.902657296966,312.1367164526233
2016-04-27,312.995961183998,274.85305033517767,312.995961183998,354.55037959292093,302.54193677267006,310.13548768466546,312.995961183998,301.21872509109767,310.75126088758077,312.995961183998
2016-04-28,312.5791973794645,274.58112518146766,312.5791973794645,353.957111273557,302.1253160754949,309.677079286651,312.5791973794645,300.7718908034516,310.2312722698149,312.5791973794645
2016-04-29,313.9462215298021,275.4847229399653,313.9462215298021,355.88806675849463,303.32837120756693,310.99567334493395,313.9462215298021,301.966161393058,311.5516692275621,313.9462215298021
2016-05-02,312.1984377486548,274.3426809061903,312.1984377486548,353.4008665898074,302.0137247818901,309.34145679305476,312.1984377486548,300.08717145923777,309.5087711141692,312.1984377486548
2016-05-03,313.89444397474404,275.4615878090822,313.89444397474404,355.8005645190226,303.1974296255546,310.8732336992214,313.89444397474404,301.54408165620544,311.46248968871595,313.89444397474404
2016-05-04,315.3676237993512,276.4338488381021,315.3676237993512,357.8845185124461,304.1330878749171,312.0857886045444,315.3676237993512,302.7789176513663,313.10417080527793,315.3676237993512
2016-05-09,315.79447756223163,276.7284475491511,315.79447756223163,358.4716969490356,304.2309457941195,312.35137137615516,315.79447756223163,303.1109429670828,313.72319445727175,315.79447756223163
2016-05-10,315.85816531857097,276.7730976552703,315.85816531857097,358.55840752790107,304.2028167603195,312.38562017941376,315.85816531857097,303.14186681432716,314.0287911209198,315.85816531857097
2016-05-11,316.08471061227937,276.92490867894173,316.08471061227937,358.87591024628637,304.333717299313,312.554330331586,316.08471061227937,303.32237930980193,314.3412324543685,316.08471061227937
2016-05-12,315.6657378538123,276.65189300134904,315.6657378538123,358.27871726733105,304.088185394372,312.20236480772246,315.6657378538123,302.98417838261946,313.6964186206179,315.6657378538123
2016-05-13,316.9722520110704,277.5144507847168,316.9722520110704,360.1265296975964,305.01833835515777,313.31570338705137,316.9722520110704,304.10643986698483,314.9645704558533,316.9722520110704
2016-05-16,316.701578796304,277.3444699752745,316.701578796304,359.73245338573037,304.8469522393357,313.0783058879263,316.701578796304,303.86846617186086,314.738853685789,316.701578796304
2016-05-17,316.7529714775833,277.3809733920832,316.7529714775833,359.80181307079425,304.78517951514937,313.0674046009999,316.7529714775833,303.8853719743655,314.9779478057068,316.7529714775833
2016-05-18,315.9178677503966,276.8340580008238,315.9178677503966,358.61501204583595,304.08936711990293,312.23167252133186,315.9178677503966,303.15157375600074,314.002675211584,315.9178677503966
