Date,core__ma5,core__ma4,core__ma5_52w_high,core__ma4_52w_high,core__ma5_52w_near5,core__ma4_52w_near5,core__ma5_stack_hard,core__ma4_stack_hard,core__ma5_stack_half,core__ma4_stack_half,korea__ma5,korea__ma4,korea__ma5_52w_high,korea__ma4_52w_high,korea__ma5_52w_near5,korea__ma4_52w_near5,korea__ma5_stack_hard,korea__ma4_stack_hard,korea__ma5_stack_half,korea__ma4_stack_half,extended__ma5,extended__ma4,extended__ma5_52w_high,extended__ma4_52w_high,extended__ma5_52w_near5,extended__ma4_52w_near5,extended__ma5_stack_hard,extended__ma4_stack_hard,extended__ma5_stack_half,extended__ma4_stack_half,all__ma5,all__ma4,all__ma5_52w_high,all__ma4_52w_high,all__ma5_52w_near5,all__ma4_52w_near5,all__ma5_stack_hard,all__ma4_stack_hard,all__ma5_stack_half,all__ma4_stack_half
2026-03-09,273.57308629071963,275.6650156878054,132.88559448391112,132.88559448391112,208.01792637128815,217.20291424517936,179.69181491905383,191.0398656052895,222.4341905392298,229.9789214582846,172.3145278710809,180.2684461784729,115.84283121785231,115.84283121785231,132.74037931950667,136.5335999003075,136.44232591896582,154.89725697685319,153.46189480087483,167.1557044672283,192.94315999214976,198.9510047295652,104.94503726551774,104.94503726551774,156.2619138692487,162.98024672362874,130.78550481655432,157.34668188832995,159.53927719201005,177.46240872862748,132.97318411590484,136.21111641645922,105.46214954586523,105.46214954586523,119.2932327389424,121.50922407001642,113.8932595652379,121.21529380732707,123.10516702709234,128.51664009080397
2026-03-10,274.0688415912767,276.0548811994857,132.70899204384418,132.70899204384418,208.31761487463453,217.5100984016069,180.11964880642998,191.47947764655052,222.90053280636712,230.4061563072608,178.21869131544352,186.4257267956811,116.00071851585176,116.00071851585176,137.2401070608663,141.14129550066593,141.07957198309452,160.18402624646708,158.6988382657497,172.86298424731075,193.00822726541026,199.02394333440364,104.76173658976411,104.76173658976411,156.14450924592384,162.8610589828416,130.77364719209163,157.33241610354824,159.55894605407286,177.48689421514797,134.1219069434514,137.37122953005735,105.36650354962778,105.36650354962778,120.23786136778101,122.46742597949674,114.86409579293439,122.24990301557317,124.16158441856813,129.61239383840197
2026-03-11,273.76007369467976,275.7162079894145,132.39044227078426,132.39044227078426,208.06912166275447,217.2432498571128,180.10694869010914,191.45114464814472,222.76711386351207,230.2477749137921,178.7341060043799,186.9625341909379,115.769641504371,115.769641504371,137.6062817355092,141.5175647053123,141.5583865934982,160.75954694274535,159.19762617088213,173.42239847035614,192.69768792481722,198.7116701340437,104.71825609047957,104.71825609047957,156.09633710852756,162.81240774150336,130.54304529821627,157.05498136114812,159.28990492067345,177.19116644177703,134.06455657352623,137.31092426988346,105.22575217083312,105.22575217083312,120.25432645612162,122.48355679304545,114.85357776010021,122.24172191789866,124.12935404571077,129.57960735089006
2026-03-12,271.9322160551086,273.80651429738776,132.23839404221556,132.23839404221556,206.66561878623386,215.73855752541124,179.11554643747948,190.22467793822614,221.41030847956188,228.71289004471097,177.71110345347574,185.9005279691478,115.82552590896069,115.82552590896069,136.84193118279794,140.7357927045507,140.88314368138055,159.96613260671919,158.36234276599893,172.50189612992241,192.3001980136913,198.3070308148138,104.56393436015101,104.56393436015101,156.006446634764,162.70341114907896,129.7766770432738,156.1329716767501,158.6580511235421,176.4906472716118,133.50124733266654,136.72757199643326,105.12810761516664,105.12810761516664,119.83879521116474,122.04940569217023,114.22044644088368,121.53240440767719,123.52644011598137,128.92840599992078
2026-03-13,270.9872528748101,272.8203286755468,132.19703885204225,132.19703885204225,205.92425698494833,214.96151880500594,178.6159933358933,189.64139830082877,220.7168520079296,227.95035807764097,176.45728396036503,184.5908766819511,115.9133838374147,115.9133838374147,135.87712018596773,139.74569053615042,139.82781887089652,158.769628491723,157.21056062241684,171.24913237516125,191.69564138419102,197.68662946461288,104.59765876579547,104.59765876579547,155.9129286186681,162.6044174206911,129.22192607473687,155.46555655076912,158.06955069617982,175.83735413574522,132.94776386586298,136.1572322156389,105.15403658943465,105.15403658943465,119.48724675453009,121.69077909129642,113.69411960847621,120.9632925490283,122.98577129780017,128.35762974507935
2026-03-16,272.7642716164938,274.37705725369716,132.43727240998783,132.43727240998783,207.0863610768165,216.18810166688766,179.38137085376795,190.5568337496437,221.9134262523919,229.1508871200344,178.52958342471516,186.78853672988612,115.74758536644106,115.74758536644106,137.61132520971745,141.54115815684784,141.4943417380036,160.50407297184847,159.0705430120336,173.20392890879373,192.3886453961088,198.40395185581383,104.85486016538755,104.85486016538755,156.36505226761625,163.08656885237406,129.8694598064824,156.24459765508604,158.7513163010126,176.59693667486812,133.78888322684327,136.99231512892908,105.2986633944433,105.2986633944433,120.19930033791472,122.4243836192028,114.42344331613921,121.72958255879387,123.76928159926226,129.15781903154365
2026-03-17,273.57834135585006,275.2642510757966,132.53721146707048,132.53721146707048,207.74768813980066,216.88714243265008,179.8681752351695,191.10992188229216,222.54569234724443,229.85391835718528,179.42716583157303,187.7265399653187,115.75347885384082,115.75347885384082,138.37681130832817,142.32494784221413,142.35529491348544,161.40703081939506,159.95436739652857,174.1260234631724,192.71904623109344,198.7412949946056,104.85833825512836,104.85833825512836,156.75805871994524,163.50173237399318,129.8401540173959,156.20934016474448,158.8697214201764,176.7271441244677,134.16895316187413,137.3896730226433,105.32379088646412,105.32379088646412,120.60945863032883,122.8447153014966,114.65940563154126,121.974028763848,124.07270221367182,129.4748171211384
2026-03-18,271.1598034102525,272.95744248941037,132.24146662680135,132.24146662680135,206.03650201729587,215.0695539863297,178.63785272666007,189.65309170791593,220.80087628178276,228.01470337236373,184.8945052973929,193.45108045758596,116.08041586414224,116.08041586414224,142.6989805380964,146.75759639732118,146.6949752554859,166.18024904758414,164.82945127928394,179.35560203293227,191.07678418428839,197.0675057001094,104.3564049212826,104.3564049212826,155.8163372941036,162.51325678619224,128.81283418729763,154.9733823517531,157.56431086929874,175.28380124143982,134.23033996277144,137.47758750351647,105.08116661854207,105.08116661854207,120.85445983847,123.08447024847548,114.81035862072244,122.08208534559206,124.18275888362551,129.57359279576374
2026-03-19,269.872646239678,271.77436147659625,132.26046778164928,132.26046778164928,205.12271458473154,214.1373767815792,177.78834328023535,188.74723979096484,219.75181352807405,226.97602021192634,181.60555958283177,190.04671463296978,115.8391203315557,115.8391203315557,140.42969578771908,144.44500352838787,144.36725146606162,163.28565423001993,162.05570046045162,176.21540151135753,190.19607507697688,196.17422111038096,104.30930617723293,104.30930617723293,155.44261701323012,162.12542266196138,128.5063408885833,154.60464344875805,157.01373714636046,174.67799802919976,133.19508826373968,136.4443219757886,105.01142070944715,105.01142070944715,120.11636314737038,122.34107790638333,114.1009097018302,121.28296681685656,123.32019707845842,128.66258476031507
2026-03-20,265.8819888220489,267.67217462029237,131.58653527255956,131.58653527255956,202.05970768384242,210.90516779871518,175.6091006348718,186.26938028469618,216.78025271416996,223.77315987248627,181.4848561611865,189.9303486351549,116.01769487712549,116.01769487712549,140.53007321082376,144.54508451353257,144.4122897709161,163.1312834636305,162.0271239065719,176.07815568843344,187.85886655894507,193.75778427437044,103.78127325692907,103.78127325692907,154.0877791026871,160.69563719986456,127.16592745782182,152.99200597807885,155.23012905168022,172.6911643219626,131.82550373022605,135.029343191468,104.64012946857308,104.64012946857308,119.12448459388504,121.31853522313973,113.13764457215684,120.19414416694418,122.16562612290369,127.41790840316195
