portfolio,asset_count,strategy,start,end,years,final_nav,total_return,cagr,mdd,vol,sharpe,calmar,avg_exposure,annual_turnover
all,43,ma5,2025-01-10,2026-06-08,1.4072553045859,139.18126793890158,0.3267987613982537,0.22254725841852108,-0.06225828004551681,0.07790404779459295,2.8266134734181834,3.5745808951968727,0.6902155416903007,1.7715500859650741
all,43,ma4,2025-01-10,2026-06-08,1.4072553045859,142.57847596362774,0.34449641351088056,0.23411288337015335,-0.06754062782155634,0.08108643964840434,2.841179505967863,3.4662526973939918,0.7145136131593877,1.6566967921455094
all,43,ma5_52w_high,2025-01-10,2026-06-08,1.4072553045859,104.22399251099897,0.04718633602164557,0.0333063377509335,-0.02227965287636613,0.02378183585447101,1.5015356069467038,1.4949217537524693,0.10642370958593307,1.0906931499411818
all,43,ma4_52w_high,2025-01-10,2026-06-08,1.4072553045859,104.22399251099897,0.04718633602164557,0.0333063377509335,-0.02227965287636613,0.02378183585447101,1.5015356069467038,1.4949217537524693,0.10642370958593307,1.0906931499411818
all,43,ma5_52w_near5,2025-01-10,2026-06-08,1.4072553045859,123.03657074600893,0.19385359855819106,0.1341791830261061,-0.04052420904623444,0.062084469683241605,2.2163008150033257,3.311087031285912,0.5128332387975042,1.8806194009591892
all,43,ma4_52w_near5,2025-01-10,2026-06-08,1.4072553045859,125.34339112465548,0.20640789220758693,0.14264154558327635,-0.04273086165035156,0.06378322477621934,2.2818058273421475,3.3381387614050793,0.5361422291548498,1.7558507148674338
all,43,ma5_stack_hard,2025-01-10,2026-06-08,1.4072553045859,117.40710187006749,0.1621462728217682,0.11269086646082505,-0.046572297351698655,0.05805963682500201,2.024111350247189,2.4196973924180876,0.3074163357912648,1.8475680933852137
all,43,ma4_stack_hard,2025-01-10,2026-06-08,1.4072553045859,124.73713749667385,0.2172087739404489,0.1499016243372353,-0.04894619055000893,0.06560623240013731,2.3163870698399647,3.062580001687342,0.42957671582529766,1.3013952357252743
all,43,ma5_stack_half,2025-01-10,2026-06-08,1.4072553045859,127.87818023838899,0.24203088012103735,0.1665161933379744,-0.044761278698874696,0.06616873476471063,2.5519892606352426,3.7200946482827053,0.49881593874078284,1.303874083793323
all,43,ma4_stack_half,2025-01-10,2026-06-08,1.4072553045859,133.38551775375117,0.27945374718570437,0.19138466902281448,-0.05284946916800004,0.07228607408109428,2.644704141385514,3.621316770740556,0.5720451644923428,1.2807381684915407
