date,KOSPI200/ma_down/cash,KOSPI200/ma_down/basket,KOSPI200/ma_reclaim/cash,KOSPI200/ma_reclaim/basket,KOSPI200/drawdown/cash,KOSPI200/drawdown/basket,KOSPI200/or/cash,KOSPI200/or/basket,KOSPI200/and/cash,KOSPI200/and/basket,KOSPI200/annual5_live/cash,KOSPI200/annual5_live/basket,Semi50/ma_down/cash,Semi50/ma_down/basket,Semi50/ma_reclaim/cash,Semi50/ma_reclaim/basket,Semi50/drawdown/cash,Semi50/drawdown/basket,Semi50/or/cash,Semi50/or/basket,Semi50/and/cash,Semi50/and/basket,Semi50/annual5_live/cash,Semi50/annual5_live/basket,Attack/ma_down/cash,Attack/ma_down/basket,Attack/ma_reclaim/cash,Attack/ma_reclaim/basket,Attack/drawdown/cash,Attack/drawdown/basket,Attack/or/cash,Attack/or/basket,Attack/and/cash,Attack/and/basket,Attack/annual5_live/cash,Attack/annual5_live/basket,SemiSplit/ma_down/cash,SemiSplit/ma_down/basket,SemiSplit/ma_reclaim/cash,SemiSplit/ma_reclaim/basket,SemiSplit/drawdown/cash,SemiSplit/drawdown/basket,SemiSplit/or/cash,SemiSplit/or/basket,SemiSplit/and/cash,SemiSplit/and/basket,SemiSplit/annual5_live/cash,SemiSplit/annual5_live/basket
2022-02-28,147.8009034737691,217.50267897759156,134.9380508813104,207.33337278543104,144.51323920260583,226.56243031462571,147.8009034737691,217.50267897759156,144.51323920260583,226.56243031462571,146.89720992010186,214.55155570272868,187.78878181675407,276.457148019411,177.50919054754115,272.80005850528715,180.36206126354347,282.937287080261,187.78878181675407,276.457148019411,180.36206126354347,282.937287080261,186.63723494249547,272.7635130135562,177.0335417629677,260.597645544396,165.89165200033608,254.93338618615178,170.76227395119054,267.838166536738,177.0335417629677,260.597645544396,170.76227395119054,267.838166536738,175.9486919298265,257.10238989864416,171.8767387903236,256.6954767725182,197.75443309323018,286.4385185577144,178.28755391286688,266.3744314077731,180.52193148097248,268.940904437512,169.74936553167495,254.24586049205482,170.8233380652954,253.2996075651081
2022-03-31,147.8009034737691,216.00146685042347,135.24185943607065,206.6553584733742,144.51323920260583,224.99868742397365,147.8009034737691,216.00146685042347,144.51323920260583,224.99868742397365,146.89720992010186,213.07071234559055,187.78878181675407,274.5490298058795,176.35127801427308,269.5142513899681,180.36206126354347,280.98444268961015,187.78878181675407,274.5490298058795,180.36206126354347,280.98444268961015,186.63723494249547,270.8808884155065,177.0335417629677,258.79899024671573,165.17342937990458,252.42201193155597,170.76227395119054,265.9895368756531,177.0335417629677,258.79899024671573,170.76227395119054,265.9895368756531,175.9486919298265,255.32785899422478,171.8767387903236,254.92375439865356,195.99175139396937,282.4273074603117,178.28755391286688,264.53590450467203,180.52193148097248,267.084663635647,169.74936553167495,252.49104546703032,170.8233380652954,251.55132361536036
2022-04-30,147.8009034737691,214.66079439316002,134.46283442481322,204.43884424863106,144.51323920260583,223.60217124494864,147.8009034737691,214.66079439316002,144.51323920260583,223.60217124494864,146.89720992010186,211.74823042147912,187.78878181675407,272.8449658113325,174.97186550649425,266.0678704950997,180.36206126354347,279.2404355366664,187.78878181675407,272.8449658113325,180.36206126354347,279.2404355366664,186.63723494249547,269.19959174843706,177.0335417629677,257.1926832005158,163.96658502773926,249.3243020709864,170.76227395119054,264.3385997259698,177.0335417629677,257.1926832005158,170.76227395119054,264.3385997259698,175.9486919298265,253.74309647794684,171.8767387903236,253.3415000685886,193.88776151422994,278.1026137753284,178.28755391286688,262.89398972373084,180.52193148097248,265.426929280807,169.74936553167495,250.92389041341343,170.8233380652954,249.99000120363425
2022-05-31,147.8009034737691,206.7639551268014,134.42193830065557,198.36002609108826,144.51323920260583,215.3764008571986,147.8009034737691,206.7639551268014,144.51323920260583,215.3764008571986,146.89720992010186,203.95853717404012,187.78878181675407,262.80767490435414,174.27197698368863,257.17321472331304,180.36206126354347,268.9678711294823,187.78878181675407,262.80767490435414,180.36206126354347,268.9678711294823,186.63723494249547,259.2964051296769,177.0335417629677,247.73120102600146,163.46221714560852,241.21975125297112,170.76227395119054,254.61423697108748,177.0335417629677,247.73120102600146,170.76227395119054,254.61423697108748,175.9486919298265,244.4085160600411,171.8767387903236,244.02169338849382,192.62748915426712,268.74979780971046,178.28755391286688,253.22277059492382,180.52193148097248,255.66252957559252,169.74936553167495,241.69302160811634,170.8233380652954,240.79348787066763
2022-06-30,147.8009034737691,212.01283712843832,130.8321972765032,197.09124971861797,144.51323920260583,220.843917249712,147.8009034737691,212.01283712843832,144.51323920260583,220.843917249712,146.89720992010186,209.1362012122255,187.78878181675407,269.47927525099846,168.97623629441784,254.58114017454182,180.36206126354347,275.7958533903379,187.78878181675407,269.47927525099846,180.36206126354347,275.7958533903379,186.63723494249547,265.87886885329664,177.0335417629677,254.0200720311621,158.64545959506745,239.01056241698413,170.76227395119054,261.077839802531,177.0335417629677,254.0200720311621,170.76227395119054,261.077839802531,175.9486919298265,250.61303783080913,171.8767387903236,250.2163953308625,184.91093628953413,263.01538062958457,178.28755391286688,259.6510498477811,180.52193148097248,262.1527442223346,169.74936553167495,247.82860820135056,170.8233380652954,246.9062390212278
2022-07-31,149.35107944726838,213.57655687499192,130.8321972765032,196.3243968929943,144.51323920260583,219.9846463170525,149.35107944726838,213.57655687499192,144.51323920260583,219.9846463170525,148.43790771044138,210.67870407188323,190.6622766333017,272.7639735103015,168.97623629441784,253.5906027104379,180.36206126354347,274.722772623081,190.6622766333017,272.7639735103015,180.36206126354347,274.722772623081,189.4931090900011,269.1196815536219,179.52942642660898,256.8106578644886,158.64545959506745,238.0806077619447,170.76227395119054,260.0620246435824,179.52942642660898,256.8106578644886,170.76227395119054,260.0620246435824,178.42928197735193,253.36619504167624,171.8767387903236,249.24284044168914,188.61669236846055,267.53168583519437,178.28755391286688,258.64078611696505,180.52193148097248,261.13274676968814,169.74936553167495,246.86434383780872,170.8233380652954,245.94556345938594
2022-08-31,149.31874281074744,213.92008505615584,130.8321972765032,196.77225426200582,144.51323920260583,220.48647770674057,149.31874281074744,213.92008505615584,144.51323920260583,220.48647770674057,148.4057687886115,211.01757118856844,189.60855369555463,271.75428928146624,168.97623629441784,254.16909637670315,180.36206126354347,275.3494732272937,189.60855369555463,271.75428928146624,180.36206126354347,275.3494732272937,188.44584772755985,268.1234873178622,178.77556204647775,256.2009522802476,158.64545959506745,238.62371985749868,170.76227395119054,260.6552809885906,178.77556204647775,256.2009522802476,170.76227395119054,260.6552809885906,177.68003722827396,252.76466710954375,171.8767387903236,249.8114159449467,187.24915768529928,266.0420842741998,178.28755391286688,259.2308003170471,180.52193148097248,261.7284456577625,169.74936553167495,247.4274934885076,170.8233380652954,246.5066171782012
2022-09-30,145.47203685543076,208.44624557919732,130.8321972765032,196.81492039575653,144.51323920260583,220.53428579626694,145.47203685543076,208.44624557919732,144.51323920260583,220.53428579626694,144.58258260410116,205.61800194662152,185.27969079726063,265.59713567414633,168.97623629441784,254.22420786943866,180.36206126354347,275.40917726177236,185.27969079726063,265.59713567414633,180.36206126354347,275.40917726177236,184.14353001738306,262.0485970134207,174.5630160529811,250.208448594737,158.64545959506745,238.67546064578065,170.76227395119054,260.71179888092865,174.5630160529811,250.208448594737,170.76227395119054,260.71179888092865,173.49330543796523,246.85253764343648,171.8767387903236,249.86558256170443,181.52457008992542,257.9511800174223,178.28755391286688,259.28700933919873,180.52193148097248,261.7851962444277,169.74936553167495,247.4811431992881,170.8233380652954,246.56006721534393
2022-10-31,149.71118020268935,211.12158345874934,130.8321972765032,190.97991604768083,146.38488515921847,218.15993623438757,149.71118020268935,211.12158345874934,146.38488515921847,218.15993623438757,148.79580671523905,208.25704026461602,190.02505739097776,268.06877425829305,168.97623629441784,246.68718092391316,182.41513535831962,272.0120984209391,190.02505739097776,268.06877425829305,182.41513535831962,272.0120984209391,188.859797364514,264.4872130084912,179.1879031533486,252.75760800327305,158.64545959506745,231.59940996910072,172.77302502775075,257.59822644132385,179.1879031533486,252.75760800327305,172.77302502775075,257.59822644132385,178.08985153611832,249.36750655191642,173.83322385948347,246.783575302498,181.52457008992542,250.3036589150264,178.20173877901783,252.2437945552425,182.57682538973629,258.55616459106324,169.66766008334616,240.75862034334608,172.7678321995279,243.51883236740142
2022-11-30,154.52814740771493,218.31646390410737,130.8321972765032,191.64114248686678,148.4781933548722,221.8838948673447,154.52814740771493,218.31646390410737,148.4781933548722,221.8838948673447,153.58332171727332,215.3542990197863,193.22956715040982,273.0998547745478,168.97623629441784,247.54128165665415,183.78232600277622,274.8042392043699,193.22956715040982,273.0998547745478,183.78232600277622,274.8042392043699,192.04465662533107,269.4510752406638,182.89556594316147,258.46885186518347,158.64545959506745,232.40127257507862,174.36188257078746,260.68065689098,182.89556594316147,258.46885186518347,174.36188257078746,260.68065689098,181.7747940136174,255.00214858071777,175.13609358512093,249.31675117696463,182.38023850185905,252.2634971990842,178.69734497719398,253.7313283659487,183.94522789140976,261.21018335035006,170.1395317078516,242.17842370703707,174.06271687772227,246.01849641666092
